"species" "gene" "start" "end" "IfEndIsOverlapped" "IfStartIsOverlapped"
"46246" "Chrysomus_icterocephalus" "ATP6" 8011 8695 6 -10
"46247" "Chrysomus_icterocephalus" "COX3" 8701 9485 69 6
"46248" "Chrysomus_icterocephalus" "ND3" 9554 9905 72 69
"46249" "Chrysomus_icterocephalus" "ND4L" 9977 10274 -7 72
"46250" "Chrysomus_icterocephalus" "ND4" 10267 11645 206 -7
"46251" "Chrysomus_icterocephalus" "ND5" 11851 13669 8 206
"46252" "Chrysomus_icterocephalus" "CytB" 13677 14820 158 8
"46253" "Chrysomus_icterocephalus" "ND6" 14978 15497 34503 158
"42752" "Chrysomus_ruficapillus" "ND1" 2800 3778 223 2800
"42753" "Chrysomus_ruficapillus" "ND2" 4001 5041 360 223
"42754" "Chrysomus_ruficapillus" "COX1" 5401 6952 145 360
"42755" "Chrysomus_ruficapillus" "COX2" 7097 7781 72 145
"42756" "Chrysomus_ruficapillus" "ATP8" 7853 8021 -10 72
"42757" "Chrysomus_ruficapillus" "ATP6" 8011 8695 6 -10
"42758" "Chrysomus_ruficapillus" "COX3" 8701 9485 69 6
"42759" "Chrysomus_ruficapillus" "ND3" 9554 9905 72 69
"42760" "Chrysomus_ruficapillus" "ND4L" 9977 10274 -7 72
"42761" "Chrysomus_ruficapillus" "ND4" 10267 11645 206 -7
"42762" "Chrysomus_ruficapillus" "ND5" 11851 13669 8 206
"42763" "Chrysomus_ruficapillus" "CytB" 13677 14820 158 8
"42764" "Chrysomus_ruficapillus" "ND6" 14978 15497 34503 158
"42739" "Chrysomus_thilius" "ND1" 2799 3777 223 2799
"42740" "Chrysomus_thilius" "ND2" 4000 5040 360 223
"42741" "Chrysomus_thilius" "COX1" 5400 6951 145 360
"42742" "Chrysomus_thilius" "COX2" 7096 7780 73 145
"42743" "Chrysomus_thilius" "ATP8" 7853 8021 -10 73
"42744" "Chrysomus_thilius" "ATP6" 8011 8695 6 -10
"42745" "Chrysomus_thilius" "COX3" 8701 9485 69 6
"42746" "Chrysomus_thilius" "ND3" 9554 9905 72 69
"42747" "Chrysomus_thilius" "ND4L" 9977 10274 -7 72
"42748" "Chrysomus_thilius" "ND4" 10267 11645 206 -7
"42749" "Chrysomus_thilius" "ND5" 11851 13669 8 206
"42750" "Chrysomus_thilius" "CytB" 13677 14820 158 8
"42751" "Chrysomus_thilius" "ND6" 14978 15497 34503 158
"48048" "Chrysomus_xanthophthalmus" "ND1" 2800 3778 224 2800
"48049" "Chrysomus_xanthophthalmus" "ND2" 4002 5042 360 224
"48050" "Chrysomus_xanthophthalmus" "COX1" 5402 6953 145 360
"48051" "Chrysomus_xanthophthalmus" "COX2" 7098 7782 71 145
"48052" "Chrysomus_xanthophthalmus" "ATP8" 7853 8021 -10 71
"48053" "Chrysomus_xanthophthalmus" "ATP6" 8011 8695 6 -10
"48054" "Chrysomus_xanthophthalmus" "COX3" 8701 9485 69 6
"48055" "Chrysomus_xanthophthalmus" "ND3" 9554 9905 72 69
"48056" "Chrysomus_xanthophthalmus" "ND4L" 9977 10274 -7 72
"48057" "Chrysomus_xanthophthalmus" "ND4" 10267 11645 206 -7
"48058" "Chrysomus_xanthophthalmus" "ND5" 11851 13669 8 206
"48059" "Chrysomus_xanthophthalmus" "CytB" 13677 14820 158 8
"48060" "Chrysomus_xanthophthalmus" "ND6" 14978 15497 34503 158
"39529" "Chthonerpeton_indistinctum" "ND1" 2707 3672 209 2707
"39530" "Chthonerpeton_indistinctum" "ND2" 3881 4913 385 209
"39531" "Chthonerpeton_indistinctum" "COX1" 5298 6849 136 385
"39532" "Chthonerpeton_indistinctum" "COX2" 6985 7676 74 136
"39533" "Chthonerpeton_indistinctum" "ATP8" 7750 7918 -7 74
"39534" "Chthonerpeton_indistinctum" "ATP6" 7911 8595 -1 -7
"39535" "Chthonerpeton_indistinctum" "COX3" 8594 9378 69 -1
"39536" "Chthonerpeton_indistinctum" "ND3" 9447 9790 69 69
"39537" "Chthonerpeton_indistinctum" "ND4L" 9859 10156 -7 69
"39538" "Chthonerpeton_indistinctum" "ND4" 10149 11524 200 -7
"39539" "Chthonerpeton_indistinctum" "ND5" 11724 13515 -5 200
"39540" "Chthonerpeton_indistinctum" "ND6" 13510 14011 71 -5
"39541" "Chthonerpeton_indistinctum" "CytB" 14082 15223 34777 71
"32640" "Chuanchia_labiosa" "ND1" 2858 3833 215 2858
"32641" "Chuanchia_labiosa" "ND2" 4048 5093 385 215
"32642" "Chuanchia_labiosa" "COX1" 5478 7029 159 385
"32643" "Chuanchia_labiosa" "COX2" 7188 7879 77 159
"32644" "Chuanchia_labiosa" "ATP8" 7956 8121 -7 77
"32645" "Chuanchia_labiosa" "ATP6" 8114 8798 -1 -7
"32646" "Chuanchia_labiosa" "COX3" 8797 9582 72 -1
"32647" "Chuanchia_labiosa" "ND3" 9654 10003 70 72
"32648" "Chuanchia_labiosa" "ND4L" 10073 10370 -7 70
"32649" "Chuanchia_labiosa" "ND4" 10363 11744 215 -7
"32650" "Chuanchia_labiosa" "ND5" 11959 13783 -4 215
"32651" "Chuanchia_labiosa" "ND6" 13779 14301 73 -4
"32652" "Chuanchia_labiosa" "CytB" 14374 15515 34485 73
"10884" "Cichla_ocellaris" "ND1" 2857 3832 210 2857
"10885" "Cichla_ocellaris" "ND2" 4042 5087 386 210
"10886" "Cichla_ocellaris" "COX1" 5473 7036 165 386
"10887" "Cichla_ocellaris" "COX2" 7201 7892 75 165
"10888" "Cichla_ocellaris" "ATP8" 7967 8135 -10 75
"10889" "Cichla_ocellaris" "ATP6" 8125 8809 -1 -10
"10890" "Cichla_ocellaris" "COX3" 8808 9592 72 -1
"10891" "Cichla_ocellaris" "ND3" 9664 10013 69 72
"10892" "Cichla_ocellaris" "ND4L" 10082 10379 -7 69
"10893" "Cichla_ocellaris" "ND4" 10372 11750 213 -7
"10894" "Cichla_ocellaris" "ND5" 11963 13802 -4 213
"10895" "Cichla_ocellaris" "ND6" 13798 14320 73 -4
"10896" "Cichla_ocellaris" "CytB" 14393 15530 34470 73
"11235" "Ciconia_boyciana" "ND1" 4865 5843 217 4865
"11236" "Ciconia_boyciana" "ND2" 6060 7101 360 217
"11237" "Ciconia_boyciana" "COX1" 7461 9012 137 360
"11238" "Ciconia_boyciana" "COX2" 9149 9833 74 137
"11239" "Ciconia_boyciana" "ATP8" 9907 10075 -10 74
"11240" "Ciconia_boyciana" "ATP6" 10065 10749 -1 -10
"11241" "Ciconia_boyciana" "COX3" 10748 11532 69 -1
"11242" "Ciconia_boyciana" "ND3" 11601 11952 74 69
"11243" "Ciconia_boyciana" "ND4L" 12026 12323 -7 74
"11244" "Ciconia_boyciana" "ND4" 12316 13694 206 -7
"11245" "Ciconia_boyciana" "ND5" 13900 15712 10 206
"11246" "Ciconia_boyciana" "CytB" 15722 16865 160 10
"11247" "Ciconia_boyciana" "ND6" 17025 17547 32453 160
"2482" "Ciconia_ciconia" "ND1" 4587 5565 217 4587
"2483" "Ciconia_ciconia" "ND2" 5782 6823 360 217
"2484" "Ciconia_ciconia" "COX1" 7183 8734 137 360
"2485" "Ciconia_ciconia" "COX2" 8871 9555 74 137
"2486" "Ciconia_ciconia" "ATP8" 9629 9797 -10 74
"2487" "Ciconia_ciconia" "ATP6" 9787 10471 -1 -10
"2488" "Ciconia_ciconia" "COX3" 10470 11254 69 -1
"2489" "Ciconia_ciconia" "ND3" 11323 11674 74 69
"2490" "Ciconia_ciconia" "ND4L" 11748 12045 -7 74
"2491" "Ciconia_ciconia" "ND4" 12038 13419 206 -7
"2492" "Ciconia_ciconia" "ND5" 13625 15437 10 206
"2493" "Ciconia_ciconia" "CytB" 15447 16590 160 10
"2494" "Ciconia_ciconia" "ND6" 16750 17272 32728 160
"8387" "Ciconia_nigra" "ND1" 5019 5997 217 5019
"8388" "Ciconia_nigra" "ND2" 6214 7254 360 217
"8389" "Ciconia_nigra" "COX1" 7614 9165 137 360
"8390" "Ciconia_nigra" "COX2" 9302 9987 73 137
"8391" "Ciconia_nigra" "ATP8" 10060 10228 -10 73
"8392" "Ciconia_nigra" "ATP6" 10218 10902 -1 -10
"8393" "Ciconia_nigra" "COX3" 10901 11685 69 -1
"8394" "Ciconia_nigra" "ND3" 11754 12106 76 69
"8395" "Ciconia_nigra" "ND4L" 12182 12479 -7 76
"8396" "Ciconia_nigra" "ND4" 12472 13850 208 -7
"8397" "Ciconia_nigra" "ND5" 14058 15870 10 208
"8398" "Ciconia_nigra" "CytB" 15880 17023 171 10
"8399" "Ciconia_nigra" "ND6" 17194 17716 32284 171
"1" "Ciona_intestinalis" "ND6" 772 1252 484 772
"2" "Ciona_intestinalis" "ATP6" 1736 2369 -10 484
"3" "Ciona_intestinalis" "ND2" 2359 3433 63 -10
"4" "Ciona_intestinalis" "COX2" 3496 4186 -26 63
"5" "Ciona_intestinalis" "CytB" 4160 5245 62 -26
"6" "Ciona_intestinalis" "ND4L" 5307 5586 203 62
"7" "Ciona_intestinalis" "COX3" 5789 6578 203 203
"8" "Ciona_intestinalis" "ND1" 6781 7690 1267 203
"9" "Ciona_intestinalis" "ND3" 8957 9299 136 1267
"10" "Ciona_intestinalis" "ND4" 9435 10764 87 136
"11" "Ciona_intestinalis" "ATP8" 10851 10958 378 87
"12" "Ciona_intestinalis" "COX1" 11336 12899 90 378
"13" "Ciona_intestinalis" "ND5" 12989 14724 35276 90
"39360" "Ciona_intestinalis_B_CG-2006" "ND6" 722 1205 425 722
"39361" "Ciona_intestinalis_B_CG-2006" "ATP6" 1630 2263 -8 425
"39362" "Ciona_intestinalis_B_CG-2006" "ND2" 2255 3329 78 -8
"39363" "Ciona_intestinalis_B_CG-2006" "COX2" 3407 4097 -29 78
"39364" "Ciona_intestinalis_B_CG-2006" "CytB" 4068 5156 70 -29
"39365" "Ciona_intestinalis_B_CG-2006" "ND4L" 5226 5499 208 70
"39366" "Ciona_intestinalis_B_CG-2006" "COX3" 5707 6496 114 208
"39367" "Ciona_intestinalis_B_CG-2006" "ND1" 6610 7519 1268 114
"39368" "Ciona_intestinalis_B_CG-2006" "ND3" 8787 9129 148 1268
"39369" "Ciona_intestinalis_B_CG-2006" "ND4" 9277 10597 156 148
"39370" "Ciona_intestinalis_B_CG-2006" "ATP8" 10753 10864 296 156
"39371" "Ciona_intestinalis_B_CG-2006" "COX1" 11160 12723 68 296
"39372" "Ciona_intestinalis_B_CG-2006" "ND5" 12791 14523 35477 68
"44182" "Cirrhigaleus_australis" "ND1" 2848 3823 215 2848
"44183" "Cirrhigaleus_australis" "ND2" 4038 5084 389 215
"44184" "Cirrhigaleus_australis" "COX1" 5473 7030 151 389
"44185" "Cirrhigaleus_australis" "COX2" 7181 7872 75 151
"44186" "Cirrhigaleus_australis" "ATP8" 7947 8115 -10 75
"44187" "Cirrhigaleus_australis" "ATP6" 8105 8789 -1 -10
"44188" "Cirrhigaleus_australis" "COX3" 8788 9574 72 -1
"44189" "Cirrhigaleus_australis" "ND3" 9646 9997 72 72
"44190" "Cirrhigaleus_australis" "ND4L" 10069 10366 -7 72
"44191" "Cirrhigaleus_australis" "ND4" 10359 11740 208 -7
"44192" "Cirrhigaleus_australis" "ND5" 11948 13781 -4 208
"44193" "Cirrhigaleus_australis" "ND6" 13777 14299 74 -4
"44194" "Cirrhigaleus_australis" "CytB" 14373 15519 34481 74
"24498" "Cirrhinus_molitorella" "ND1" 2864 3839 217 2864
"24499" "Cirrhinus_molitorella" "ND2" 4056 5101 386 217
"24500" "Cirrhinus_molitorella" "COX1" 5487 7038 152 386
"24501" "Cirrhinus_molitorella" "COX2" 7190 7881 77 152
"24502" "Cirrhinus_molitorella" "ATP8" 7958 8123 -7 77
"24503" "Cirrhinus_molitorella" "ATP6" 8116 8800 -1 -7
"24504" "Cirrhinus_molitorella" "COX3" 8799 9584 72 -1
"24505" "Cirrhinus_molitorella" "ND3" 9656 10005 70 72
"24506" "Cirrhinus_molitorella" "ND4L" 10075 10372 -7 70
"24507" "Cirrhinus_molitorella" "ND4" 10365 11746 215 -7
"24508" "Cirrhinus_molitorella" "ND5" 11961 13785 -4 215
"24509" "Cirrhinus_molitorella" "ND6" 13781 14303 75 -4
"24510" "Cirrhinus_molitorella" "CytB" 14378 15519 34481 75
"44443" "Cirrhinus_mrigala" "ND1" 3796 4771 214 3796
"44444" "Cirrhinus_mrigala" "ND2" 4985 6030 392 214
"44445" "Cirrhinus_mrigala" "COX1" 6422 7973 161 392
"44446" "Cirrhinus_mrigala" "COX2" 8134 8825 76 161
"44447" "Cirrhinus_mrigala" "ATP8" 8901 9066 -7 76
"44448" "Cirrhinus_mrigala" "ATP6" 9059 9746 -1 -7
"44449" "Cirrhinus_mrigala" "COX3" 9745 10529 71 -1
"44450" "Cirrhinus_mrigala" "ND3" 10600 10955 70 71
"44451" "Cirrhinus_mrigala" "ND4L" 11025 11322 -7 70
"44452" "Cirrhinus_mrigala" "ND4" 11315 12690 215 -7
"44453" "Cirrhinus_mrigala" "ND5" 12905 14729 -4 215
"44454" "Cirrhinus_mrigala" "ND6" 14725 15244 74 -4
"44455" "Cirrhinus_mrigala" "CytB" 15318 16459 33541 74
"47853" "Cirrhinus_reba" "ND1" 2860 3835 215 2860
"47854" "Cirrhinus_reba" "ND2" 4050 5095 389 215
"47855" "Cirrhinus_reba" "COX1" 5484 7035 161 389
"47856" "Cirrhinus_reba" "COX2" 7196 7887 77 161
"47857" "Cirrhinus_reba" "ATP8" 7964 8129 -7 77
"47858" "Cirrhinus_reba" "ATP6" 8122 8805 0 -7
"47859" "Cirrhinus_reba" "COX3" 8805 9591 72 0
"47860" "Cirrhinus_reba" "ND3" 9663 10012 70 72
"47861" "Cirrhinus_reba" "ND4L" 10082 10379 -7 70
"47862" "Cirrhinus_reba" "ND4" 10372 11753 215 -7
"47863" "Cirrhinus_reba" "ND5" 11968 13792 -4 215
"47864" "Cirrhinus_reba" "ND6" 13788 14310 74 -4
"47865" "Cirrhinus_reba" "CytB" 14384 15525 34475 74
"9597" "Citharinus_congicus" "ND1" 2854 3829 219 2854
"9598" "Citharinus_congicus" "ND2" 4048 5093 386 219
"9599" "Citharinus_congicus" "COX1" 5479 7030 162 386
"9600" "Citharinus_congicus" "COX2" 7192 7876 81 162
"9601" "Citharinus_congicus" "ATP8" 7957 8125 -10 81
"9602" "Citharinus_congicus" "ATP6" 8115 8798 0 -10
"9603" "Citharinus_congicus" "COX3" 8798 9583 71 0
"9604" "Citharinus_congicus" "ND3" 9654 10003 69 71
"9605" "Citharinus_congicus" "ND4L" 10072 10369 -7 69
"9606" "Citharinus_congicus" "ND4" 10362 11743 211 -7
"9607" "Citharinus_congicus" "ND5" 11954 13790 -4 211
"9608" "Citharinus_congicus" "ND6" 13786 14308 77 -4
"9609" "Citharinus_congicus" "CytB" 14385 15522 34478 77
"47489" "Claea_dabryi" "ND1" 2846 3821 217 2846
"47490" "Claea_dabryi" "ND2" 4038 5083 382 217
"47491" "Claea_dabryi" "COX1" 5465 7016 159 382
"47492" "Claea_dabryi" "COX2" 7175 7866 77 159
"47493" "Claea_dabryi" "ATP8" 7943 8111 -10 77
"47494" "Claea_dabryi" "ATP6" 8101 8785 -1 -10
"47495" "Claea_dabryi" "COX3" 8784 9568 73 -1
"47496" "Claea_dabryi" "ND3" 9641 9990 70 73
"47497" "Claea_dabryi" "ND4L" 10060 10357 -7 70
"47498" "Claea_dabryi" "ND4" 10350 11732 213 -7
"47499" "Claea_dabryi" "ND5" 11945 13784 -4 213
"47500" "Claea_dabryi" "ND6" 13780 14302 74 -4
"47501" "Claea_dabryi" "CytB" 14376 15517 34483 74
"12733" "Clarias_batrachus" "ND1" 2876 3851 216 2876
"12734" "Clarias_batrachus" "ND2" 4067 5112 356 216
"12735" "Clarias_batrachus" "COX1" 5468 7019 162 356
"12736" "Clarias_batrachus" "COX2" 7181 7872 75 162
"12737" "Clarias_batrachus" "ATP8" 7947 8115 -10 75
"12738" "Clarias_batrachus" "ATP6" 8105 8788 0 -10
"12739" "Clarias_batrachus" "COX3" 8788 9569 73 0
"12740" "Clarias_batrachus" "ND3" 9642 9991 69 73
"12741" "Clarias_batrachus" "ND4L" 10060 10357 -7 69
"12742" "Clarias_batrachus" "ND4" 10350 11731 211 -7
"12743" "Clarias_batrachus" "ND5" 11942 13775 -4 211
"12744" "Clarias_batrachus" "ND6" 13771 14290 70 -4
"12745" "Clarias_batrachus" "CytB" 14360 15498 34502 70
"7698" "Clarias_fuscus" "ND1" 2834 3809 216 2834
"7699" "Clarias_fuscus" "ND2" 4025 5070 396 216
"7700" "Clarias_fuscus" "COX1" 5466 7017 162 396
"7701" "Clarias_fuscus" "COX2" 7179 7870 75 162
"7702" "Clarias_fuscus" "ATP8" 7945 8113 -10 75
"7703" "Clarias_fuscus" "ATP6" 8103 8787 -1 -10
"7704" "Clarias_fuscus" "COX3" 8786 9570 73 -1
"7705" "Clarias_fuscus" "ND3" 9643 9992 71 73
"7706" "Clarias_fuscus" "ND4L" 10063 10360 -7 71
"7707" "Clarias_fuscus" "ND4" 10353 11734 212 -7
"7708" "Clarias_fuscus" "ND5" 11946 13773 -4 212
"7709" "Clarias_fuscus" "ND6" 13769 14288 70 -4
"7710" "Clarias_fuscus" "CytB" 14358 15496 34504 70
"5941" "Clarias_gariepinus" "ND1" 2843 3818 216 2843
"5942" "Clarias_gariepinus" "ND2" 4034 5079 397 216
"5943" "Clarias_gariepinus" "COX1" 5476 7027 162 397
"5944" "Clarias_gariepinus" "COX2" 7189 7880 75 162
"5945" "Clarias_gariepinus" "ATP8" 7955 8123 -10 75
"5946" "Clarias_gariepinus" "ATP6" 8113 8797 -1 -10
"5947" "Clarias_gariepinus" "COX3" 8796 9580 73 -1
"5948" "Clarias_gariepinus" "ND3" 9653 10002 69 73
"5949" "Clarias_gariepinus" "ND4L" 10071 10368 -7 69
"5950" "Clarias_gariepinus" "ND4" 10361 11742 211 -7
"5951" "Clarias_gariepinus" "ND5" 11953 13780 -4 211
"5952" "Clarias_gariepinus" "ND6" 13776 14295 70 -4
"5953" "Clarias_gariepinus" "CytB" 14365 15503 34497 70
"45693" "Clarias_sp._NM-2010" "ND1" 2843 3818 216 2843
"45694" "Clarias_sp._NM-2010" "ND2" 4034 5079 397 216
"45695" "Clarias_sp._NM-2010" "COX1" 5476 7027 162 397
"45696" "Clarias_sp._NM-2010" "COX2" 7189 7880 75 162
"45697" "Clarias_sp._NM-2010" "ATP8" 7955 8123 -10 75
"45698" "Clarias_sp._NM-2010" "ATP6" 8113 8796 0 -10
"45699" "Clarias_sp._NM-2010" "COX3" 8796 9580 73 0
"45700" "Clarias_sp._NM-2010" "ND3" 9653 10002 69 73
"45701" "Clarias_sp._NM-2010" "ND4L" 10071 10368 -7 69
"45702" "Clarias_sp._NM-2010" "ND4" 10361 11742 211 -7
"45703" "Clarias_sp._NM-2010" "ND5" 11953 13780 -4 211
"45704" "Clarias_sp._NM-2010" "ND6" 13776 14295 70 -4
"45705" "Clarias_sp._NM-2010" "CytB" 14365 15503 34497 70
"38775" "Clavelina_phlegraea" "COX2" 0 687 142 0
"38776" "Clavelina_phlegraea" "ND3" 829 1168 238 142
"38777" "Clavelina_phlegraea" "COX3" 1406 2192 343 238
"38778" "Clavelina_phlegraea" "COX1" 2535 4080 12 343
"38779" "Clavelina_phlegraea" "ND5" 4092 5814 1393 12
"38780" "Clavelina_phlegraea" "ND2" 7207 8164 99 1393
"38781" "Clavelina_phlegraea" "CytB" 8263 9352 1350 99
"38782" "Clavelina_phlegraea" "ATP8" 10702 10789 4 1350
"38783" "Clavelina_phlegraea" "ND4" 10793 12118 66 4
"38784" "Clavelina_phlegraea" "ATP6" 12184 12808 22 66
"38785" "Clavelina_phlegraea" "ND4L" 12830 13091 11 22
"38786" "Clavelina_phlegraea" "ND6" 13102 13555 73 11
"38787" "Clavelina_phlegraea" "ND1" 13628 14528 35472 73
"30378" "Cleisthenes_herzensteini" "ND1" 2881 3856 212 2881
"30379" "Cleisthenes_herzensteini" "ND2" 4068 5113 388 212
"30380" "Cleisthenes_herzensteini" "COX1" 5501 7061 162 388
"30381" "Cleisthenes_herzensteini" "COX2" 7223 7914 74 162
"30382" "Cleisthenes_herzensteini" "ATP8" 7988 8156 -10 74
"30383" "Cleisthenes_herzensteini" "ATP6" 8146 8830 -1 -10
"30384" "Cleisthenes_herzensteini" "COX3" 8829 9614 72 -1
"30385" "Cleisthenes_herzensteini" "ND3" 9686 10035 69 72
"30386" "Cleisthenes_herzensteini" "ND4L" 10104 10401 -7 69
"30387" "Cleisthenes_herzensteini" "ND4" 10394 11775 215 -7
"30388" "Cleisthenes_herzensteini" "ND5" 11990 13850 -49 215
"30389" "Cleisthenes_herzensteini" "ND6" 13801 14323 73 -49
"30390" "Cleisthenes_herzensteini" "CytB" 14396 15537 34463 73
"33914" "Clinocottus_analis" "ND1" 3999 4974 213 3999
"33915" "Clinocottus_analis" "ND2" 5187 6234 409 213
"33916" "Clinocottus_analis" "COX1" 6643 8194 151 409
"33917" "Clinocottus_analis" "COX2" 8345 9036 75 151
"33918" "Clinocottus_analis" "ATP8" 9111 9279 -10 75
"33919" "Clinocottus_analis" "ATP6" 9269 9951 1 -10
"33920" "Clinocottus_analis" "COX3" 9952 10737 73 1
"33921" "Clinocottus_analis" "ND3" 10810 11159 69 73
"33922" "Clinocottus_analis" "ND4L" 11228 11525 -7 69
"33923" "Clinocottus_analis" "ND4" 11518 12899 215 -7
"33924" "Clinocottus_analis" "ND5" 13114 14953 -4 215
"33925" "Clinocottus_analis" "ND6" 14949 15471 73 -4
"33926" "Clinocottus_analis" "CytB" 15544 16685 33315 73
"39022" "Clupanodon_thrissa" "ND1" 2859 3834 217 2859
"39023" "Clupanodon_thrissa" "ND2" 4051 5096 390 217
"39024" "Clupanodon_thrissa" "COX1" 5486 7037 156 390
"39025" "Clupanodon_thrissa" "COX2" 7193 7884 75 156
"39026" "Clupanodon_thrissa" "ATP8" 7959 8127 -10 75
"39027" "Clupanodon_thrissa" "ATP6" 8117 8800 0 -10
"39028" "Clupanodon_thrissa" "COX3" 8800 9585 72 0
"39029" "Clupanodon_thrissa" "ND3" 9657 10006 70 72
"39030" "Clupanodon_thrissa" "ND4L" 10076 10373 -7 70
"39031" "Clupanodon_thrissa" "ND4" 10366 11747 208 -7
"39032" "Clupanodon_thrissa" "ND5" 11955 13791 -4 208
"39033" "Clupanodon_thrissa" "ND6" 13787 14309 75 -4
"39034" "Clupanodon_thrissa" "CytB" 14384 15525 34475 75
"650" "Clupea_harengus" "ND1" 2852 3827 216 2852
"651" "Clupea_harengus" "ND2" 4043 5088 385 216
"652" "Clupea_harengus" "COX1" 5473 7024 157 385
"653" "Clupea_harengus" "COX2" 7181 7872 76 157
"654" "Clupea_harengus" "ATP8" 7948 8116 -10 76
"655" "Clupea_harengus" "ATP6" 8106 8791 0 -10
"656" "Clupea_harengus" "COX3" 8791 9576 72 0
"657" "Clupea_harengus" "ND3" 9648 9997 70 72
"658" "Clupea_harengus" "ND4L" 10067 10364 -7 70
"659" "Clupea_harengus" "ND4" 10357 11738 208 -7
"660" "Clupea_harengus" "ND5" 11946 13782 -4 208
"661" "Clupea_harengus" "ND6" 13778 14300 73 -4
"662" "Clupea_harengus" "CytB" 14373 15514 34486 73
"7451" "Clupea_pallasii" "ND1" 2853 3828 216 2853
"7452" "Clupea_pallasii" "ND2" 4044 5089 386 216
"7453" "Clupea_pallasii" "COX1" 5475 7026 157 386
"7454" "Clupea_pallasii" "COX2" 7183 7874 76 157
"7455" "Clupea_pallasii" "ATP8" 7950 8118 -10 76
"7456" "Clupea_pallasii" "ATP6" 8108 8791 0 -10
"7457" "Clupea_pallasii" "COX3" 8791 9576 72 0
"7458" "Clupea_pallasii" "ND3" 9648 9997 70 72
"7459" "Clupea_pallasii" "ND4L" 10067 10364 -7 70
"7460" "Clupea_pallasii" "ND4" 10357 11738 207 -7
"7461" "Clupea_pallasii" "ND5" 11945 13781 -4 207
"7462" "Clupea_pallasii" "ND6" 13777 14299 73 -4
"7463" "Clupea_pallasii" "CytB" 14372 15513 34487 73
"41935" "Clupeonella_cultriventris" "ND1" 2846 3821 215 2846
"41936" "Clupeonella_cultriventris" "ND2" 4036 5081 387 215
"41937" "Clupeonella_cultriventris" "COX1" 5468 7019 157 387
"41938" "Clupeonella_cultriventris" "COX2" 7176 7867 75 157
"41939" "Clupeonella_cultriventris" "ATP8" 7942 8110 -10 75
"41940" "Clupeonella_cultriventris" "ATP6" 8100 8784 -1 -10
"41941" "Clupeonella_cultriventris" "COX3" 8783 9568 72 -1
"41942" "Clupeonella_cultriventris" "ND3" 9640 9989 69 72
"41943" "Clupeonella_cultriventris" "ND4L" 10058 10355 -7 69
"41944" "Clupeonella_cultriventris" "ND4" 10348 11729 208 -7
"41945" "Clupeonella_cultriventris" "ND5" 11937 13773 -4 208
"41946" "Clupeonella_cultriventris" "ND6" 13769 14291 73 -4
"41947" "Clupeonella_cultriventris" "CytB" 14364 15505 34495 73
"40843" "Cnemaspis_limi" "ND1" 2746 3712 218 2746
"40844" "Cnemaspis_limi" "ND2" 3930 4971 375 218
"40845" "Cnemaspis_limi" "COX1" 5346 6903 135 375
"40846" "Cnemaspis_limi" "COX2" 7038 7726 67 135
"40847" "Cnemaspis_limi" "ATP8" 7793 7958 -10 67
"40848" "Cnemaspis_limi" "ATP6" 7948 8629 -1 -10
"40849" "Cnemaspis_limi" "COX3" 8628 9414 72 -1
"40850" "Cnemaspis_limi" "ND3" 9486 9833 71 72
"40851" "Cnemaspis_limi" "ND4L" 9904 10198 -7 71
"40852" "Cnemaspis_limi" "ND4" 10191 11544 205 -7
"40853" "Cnemaspis_limi" "ND5" 11749 13558 -16 205
"40854" "Cnemaspis_limi" "ND6" 13542 14061 79 -16
"40855" "Cnemaspis_limi" "CytB" 14140 15283 34717 79
"26098" "Cnemotriccus_fuscatus" "ND1" 2787 3765 223 2787
"26099" "Cnemotriccus_fuscatus" "ND2" 3988 5029 351 223
"26100" "Cnemotriccus_fuscatus" "COX1" 5380 6931 146 351
"26101" "Cnemotriccus_fuscatus" "COX2" 7077 7761 73 146
"26102" "Cnemotriccus_fuscatus" "ATP8" 7834 8002 -10 73
"26103" "Cnemotriccus_fuscatus" "ATP6" 7992 8676 6 -10
"26104" "Cnemotriccus_fuscatus" "COX3" 8682 9466 69 6
"26105" "Cnemotriccus_fuscatus" "ND3" 9535 9886 74 69
"26106" "Cnemotriccus_fuscatus" "ND4L" 9960 10257 -7 74
"26107" "Cnemotriccus_fuscatus" "ND4" 10250 11628 206 -7
"26108" "Cnemotriccus_fuscatus" "ND5" 11834 13652 11 206
"26109" "Cnemotriccus_fuscatus" "CytB" 13663 14806 1593 11
"26110" "Cnemotriccus_fuscatus" "ND6" 16399 16921 33079 1593
"19870" "Cobitis_biwae" "ND1" 2850 3825 217 2850
"19871" "Cobitis_biwae" "ND2" 4042 5087 380 217
"19872" "Cobitis_biwae" "COX1" 5467 7018 159 380
"19873" "Cobitis_biwae" "COX2" 7177 7876 136 159
"19874" "Cobitis_biwae" "ATP8" 8012 8180 -10 136
"19875" "Cobitis_biwae" "ATP6" 8170 8853 0 -10
"19876" "Cobitis_biwae" "COX3" 8853 9637 73 0
"19877" "Cobitis_biwae" "ND3" 9710 10059 70 73
"19878" "Cobitis_biwae" "ND4L" 10129 10426 -7 70
"19879" "Cobitis_biwae" "ND4" 10419 11801 211 -7
"19880" "Cobitis_biwae" "ND5" 12012 13851 -4 211
"19881" "Cobitis_biwae" "ND6" 13847 14369 75 -4
"19882" "Cobitis_biwae" "CytB" 14444 15585 34415 75
"40674" "Cobitis_choii" "ND1" 2844 3819 217 2844
"40675" "Cobitis_choii" "ND2" 4036 5081 380 217
